id,name,category,displayName,cim_action
235,FEATURE_USAGE_COLLECTION_INITIATED,Other,Initiate feature usage collection,
236,FEATURE_USAGE_COLLECTION_COMPLETED,Other,Complete feature usage collection,
237,FEATURE_USAGE_COLLECTION_ERROR,Other,Feature usage collection error,
238,FEATURE_USAGE_COLLECTION_SCHEDULE_ERROR,Other,Feature usage collection scheduling error,
239,FEATURE_USAGE_DATA_RETRIEVED,Other,Retrieve feature usage data,
240,FEATURE_USAGE_DATA_FILE_NAME_LIST_RETRIEVED,Other,Retrieve feature usage data file list,
241,FEATURE_USAGE_DATA_PURGE,Other,Purge feature usage data,
243,ADD_ATTRIBUTE_DEFINITION,Custom Attributes,Add Custom Attribute,
244,MODIFY_ATTRIBUTE_DEFINITION,Custom Attributes,Modify Custom Attribute,
245,EDP,MDM,WIP,
246,EXPORT_POLICY,Policy,Export Policy,
247,EXPORT_CONFIG,Configuration,Export Configuration,
248,IMPORT_POLICY,Policy,Import Policy,
249,IMPORT_CONFIG,Configuration,Import Configuration,
250,RESET_APP_CONNECT_PASSCODE,Device,Reset AppConnect Passcode,
251,SET_DEVICE_ATTRIBUTE,Device,Set Device Attribute,
252,SET_USER_ATTRIBUTE,User,Set User Attribute,
253,REMOVE_DEVICE_ATTRIBUTE,Device,Remove Device Attribute,
254,REMOVE_USER_ATTRIBUTE,User,Remove User Attribute,
255,REBOOT,Device,Reboot,
256,ACTIVESYNC_DEVICE_CORRELATION_REMOVE,ActiveSync Device,Remove Correlation,
257,ACTIVESYNC_DEVICE_CORRELATION_ADD,ActiveSync Device,Add Correlation,
258,APPLY_LABELS_TO_DEVICE,Device,Apply Multiple Labels to One Device,
259,REMOVE_LABELS_FROM_DEVICE,Device,Remove Multiple labels from one Device,
260,REQUEST_DERIVED_CREDENTIAL,Device,Request Derived Credential,
261,WINDOWS_BRIDGE,Device,MobileIron Bridge,
262,SUBSTITUTION_VARIABLE_CHANGE,Device,Substitution Variable Change,
263,WINDOWS_LICENSING,Device,Windows License,
264,ADD_COMPLIANCE_POLICY_RULE,Compliance Policy,Add Compliance Policy Rule,
265,MODIFY_COMPLIANCE_POLICY_RULE,Compliance Policy,Modify Compliance Policy Rule,
266,REMOVE_COMPLIANCE_POLICY_RULE,Compliance Policy,Remove Compliance Policy Rule,
267,ADD_COMPLIANCE_POLICY_GROUP,Compliance Policy,Add Compliance Policy Group,
268,MODIFY_COMPLIANCE_POLICY_GROUP,Compliance Policy,Modify Compliance Policy Group,
269,REMOVE_COMPLIANCE_POLICY_GROUP,Compliance Policy,Remove Compliance Policy Group,
270,APPLY_LABEL_TO_COMPLIANCE_POLICY_GROUP,Compliance Policy,Apply Label To Compliance Policy Group,
271,REMOVE_LABEL_FROM_COMPLIANCE_POLICY_GROUP,Compliance Policy,Remove Label From Compliance Policy Group,
272,DELETE_LDAP_ENTITY,LDAP,Delete LDAP Entity,
273,DELETE_ADMIN_LDAP_ENTITY,LDAP,Delete Admin LDAP Entity,
274,IOS_EDUCATION_ENABLE,DEP,Enable iOS Education,
275,IOS_EDUCATION_DISABLE,DEP,Disable iOS Education,
276,IOS_EDUCATION_SYNC_ASM,DEP,Sync iOS Education with ASM,
277,ADD_APP_DEPENDENCY,App,Add App Dependency,
278,DEP_ACCOUNT_SYNC_COMPLETED,DEP,Account Sync Completed,
279,VPP_ACCOUNT_SYNC_COMPLETED,VPP,Apple License Sync Completed,
280,RESTART_DEVICE,Device,Restart iOS Device,
281,SHUTDOWN_DEVICE,Device,Shutdown iOS Device,
282,AFW_UPDATE_CATALOG_MODIFIED,AfW,Update catalog setting modified,
283,AFW_APPS_AT_WORK_MODIFIED,AfW,Apps@work setting modified,
284,EFOTA_ACCOUNT_ACTIVATED,E-FOTA,E-FOTA Account Activated.,
285,EFOTA_ACCOUNT_DEACTIVATED,E-FOTA,E-FOTA Account Deactivated.,
286,EFOTA_REGISTER_SERVICE,E-FOTA,E-FOTA Service Registered.,
287,EFOTA_SCHEDULE_FORCE_UPDATE,E-FOTA,E-FOTA Schedule Force update.,
290,ADD_POLICY_RESTRICTIONS_IN_SPACE,Admin,Add policy restrictions in space,
291,UPDATE_POLICY_RESTRICTIONS_IN_SPACE,Admin,Update policy restrictions in space,
292,REMOVE_POLICY_RESTRICTIONS_IN_SPACE,Admin,Remove policy restrictions in space,
293,DEVICE_PLATFORM_UPDATE,Other,Device and Platform Update,
294,REMOVE_APP_REVIEW,App,Remove App Review,
295,VPP_ACCOUNT_SAVE,VPP,VPP account save,
296,VPP_ACCOUNT_DELETE,VPP,VPP account delete,
297,MI_CLIENT_CHECKIN,Device,Checkin Mobile@Work client,
298,MI_CLIENT_SCRIPT_RESULTS,Device,Mobile@Work client script execution results,
299,AFW_APPS_PER_USER_MODIFIED,AfW,Apps per user setting modified,
300,ENABLE_BLUETOOTH,Device,Enable Bluetooth,
301,DISABLE_BLUETOOTH,Device,Disable Bluetooth,
302,REGISTER_CLOUD_NOTIFICATION_SERVICE,Admin,Register Cloud Notification Service,
303,DEVICE_MIGRATION_MDM_COMPLETED,Device,Device Migration MDM Completed,
304,DEVICE_MIGRATION_MI_CLIENT_STARTED,Device,Device Migration MI Client Started,
305,DEVICE_MIGRATION_MI_CLIENT_COMPLETED,Device,Device Migration MI Client Completed,
306,MIGRATION_CONFIGURATION,Migration,Modify Migration Configuration,
307,MOBILE_THREAT_DEFINITION_UPDATE,MTD,Mobile Threat Definition Update,
308,PULL_CLIENT_LOGS,Device,Pull Client Logs,
309,OS_UPDATE_STATUS,Device,Check OS Update status,
310,OS_UPDATE_SCAN,Device,Initiate scan for available updates on device,
311,ACCESS_REGISTRATION,Access Integration,Access Registration,
312,ACCESS_PROFILE_SYNC,Access Integration,Access Profile Sync,
313,ACCESS_DEREGISTRATION,Access Integration,Access De-registration,
314,DEVICE_MIGRATION_IDENTITY_CERT_REISSUE,Device,Reissue device identity certificate,
315,OS_UPDATE_MANUAL_SCAN,Device,Manually Scan for OS Updates,
315,MODIFY_APP_PREREQUISITES,App,Modify App Prerequisites,
316,MANUAL_OS_SOFTWARE_UPDATE,Device,Manually Update OS Software,
317,DEVICE_APPCONNECT_TERMS_OF_SERVICE,Device,AppConnect Terms of Service,
318,ADD_CERTIFICATE_PROVIDER,Derived Credential Provider,Add Derived Credential Provider,
319,DELETE_CERTIFICATE_PROVIDER,Derived Credential Provider,Delete Derived Credential Provider,
320,SET_DEFAULT_CERTIFICATE_PROVIDER,Derived Credential Provider,Set Default Derived Credential Provider,
321,APPLE_MDM_CERT_VERIFY_FAILED,Device,MDM Certificate Verification Failure,
322,APPLE_VPP_LICENSE_COUNT_SYNC_STARTED,VPP,Apple License Count Sync Started,
323,APPLE_VPP_LICENSE_COUNT_SYNC_COMPLETED,VPP,Apple License Count Sync Completed,
324,ZEBRA_FOTA_REGISTER_SERVICE,Zebra OTA,Zebra OTA Service Registration,
325,ZEBRA_FOTA_ACCOUNT_DEACTIVATED,Zebra OTA,Zebra OTA Account Deactivation,
326,CHANGE_DEVICE_NAME,Device,Change Device Name,
327,ZEBRA_DEVICE_FOTA_POLICY_REPUSH,Zebra OTA,Zebra Device OTA Policy Repush Request,
328,APPLE_VPP_LICENSE_SYNC_STARTED,VPP,Apple License Sync Started,
329,MARK_DEVICE_AS_UNKNOWN,Device,Mark Device as Unknown,
330,APPLE_VPP_USER_NOT_ASSOCIATED,VPP,VPP User has not accepted Terms of Service,
331,MANAGED_APPLE_ID,User,Managed Apple Id,
332,LDAP_SYNC_MODIFIED_USER,User,LDAP Sync Modified User,
333,FORCE_GOOGLE_RENEW,Device,Force Google Token Renew,
